"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\admin\screens\add_product.dart", "Dart", 226, 41, 9, 276
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\constants\color.dart", "Dart", 17, 1, 5, 23
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\constants\loading.dart", "Dart", 45, 1, 2, 48
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\constants\sizeConfigure.dart", "Dart", 22, 4, 5, 31
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\imp_fucntion.dart", "Dart", 0, 0, 2, 2
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\main.dart", "Dart", 20, 0, 3, 23
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\cart\cartBody.dart", "Dart", 169, 0, 6, 175
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\cart\cartPage.dart", "Dart", 80, 0, 5, 85
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\createAccount\backgroundCreateAccount.dart", "Dart", 102, 0, 11, 113
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\createAccount\createAccount.dart", "Dart", 280, 0, 5, 285
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\body.dart", "Dart", 27, 2, 2, 31
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\categories.dart", "Dart", 65, 0, 5, 70
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\caterory.dart", "Dart", 178, 0, 6, 184
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\coustom_bottom_nav_bar.dart", "Dart", 0, 65, 3, 68
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\discount_banner.dart", "Dart", 37, 1, 3, 41
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\home_header.dart", "Dart", 53, 1, 2, 56
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\icon_btn_with_counter.dart", "Dart", 62, 0, 4, 66
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\popular_product.dart", "Dart", 155, 0, 5, 160
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\search_field.dart", "Dart", 30, 0, 3, 33
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\section_title.dart", "Dart", 33, 0, 4, 37
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\special_offers.dart", "Dart", 119, 0, 6, 125
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\home_screen.dart", "Dart", 104, 1, 4, 109
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\itemImageViewer\itemImageView.dart", "Dart", 116, 3, 6, 125
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\itemView\itemView.dart", "Dart", 369, 19, 10, 398
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\log in\background.dart", "Dart", 73, 1, 7, 81
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\log in\login_page.dart", "Dart", 227, 0, 8, 235
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\profile\components\body.dart", "Dart", 26, 0, 4, 30
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\profile\components\menuProfile.dart", "Dart", 42, 0, 3, 45
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\profile\components\profilePic.dart", "Dart", 106, 0, 5, 111
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\profile\components\profile_menu_button.dart", "Dart", 61, 0, 4, 65
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\profile\profilePage.dart", "Dart", 40, 0, 6, 46
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\search.dart", "Dart", 63, 0, 6, 69
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\search\customAppBar.dart", "Dart", 44, 0, 4, 48
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\search\search_page.dart", "Dart", 173, 0, 7, 180
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\wrapper\wrapper.dart", "Dart", 7, 0, 2, 9
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\services\auth.dart", "Dart", 44, 3, 7, 54
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\services\database.dart", "Dart", 47, 0, 4, 51
"Total", "-", 3262, 143, 183, 3588
